p0 n1 s64
###################################          ######            #
#                                 #                            #
#                        v        #                            #
########################   ########################            #
########################   #######################             #
########################   #######################             #
########################   #######################             #
########################   #######################             #
#######################    #######################             #
########################  ########################             #
######################     #######################             #
#               m               c                #             #
#                                                #      m      #
######################     #######################             #
#                                                #             #
#                                                #             #
######################     #######################             #
#                                                #             #
#                                                #             #
######################     #######################             #
#                                                #             #
#                                                #             #
######################     #######################             #
#                                                #             #
#                                                #             #
######################     #######################             #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                           m                  #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                                                v             #
#                                                              #
#                                                              #
#                                                              #
#                                                              #
#                      #########################               #
#                                             ##               #
#       v                                     ##               #
#                                             ##               #
#                                             ##               #
#                                             ##               #
#                                             ##               #
#                                             ##               #
#                                             ##               #
#                                             ##               #
#                                             ##               #
##                                            ##              ##
##                                            ##              ##
