p0 n0 s64
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh#
#hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh#
