p1 n0 s64
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl      l      l      l     Ddbb#hhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbDd            Dd            Ddbb#hhhhhhhhhhhh!
!hhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     Ddbb#hhhhhhhhhhh!
!hhhhhhhhhhhhhhhh#bbDd            Dd            Ddbb#hhhhhhhhhh!
!hhhhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     Ddbb#hhhhhhhhh!
!hhhhhhhhhhhhhhhhhh#bbDd            Dd            Ddbb#hhhhhhhh!
!hhhhhhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     Ddbb#hhhhhhh!
!hhhhhhhhhhhhhhhhhhhh#bbDd            Dd            Ddbb#hhhhhh!
!hhhhhhhhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     Ddbb#hhhhh!
!hhhhhhhhhhhhhhhhhhhhhh#bbDd            Dd            Ddbb#hhhh!
!hhhhhhhhhhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     Ddbb#hhh!
!hhhhhhhhhhhhhhhhhhhhhhhh#bbDd            Dd            Ddbb#hh!
!hhhhhhhhhhhhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     Ddbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhh#bbDd            Dd            Ddbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhh#bbDd     Dd     Dd     Dd     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl      l      l      l     lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
