p1 n0 s64
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl       v     l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl       v     l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l     v      lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             lm           lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l         v  lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl       v     l            lbb#hhhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l             lbb#hhhhhhhhhhhhh!
!hhhhhhhhhhhhhh#bbl             l     v        lbb#hhhhhhhhhhhh!
!hhhhhhhhhhhhhhh#bbl             l              lbb#hhhhhhhhhhh!
!hhhhhhhhhhhhhhhh#bbl             l              lbb#hhhhhhhhhh!
!hhhhhhhhhhhhhhhhh#bbl             l              lbb#hhhhhhhhh!
!hhhhhhhhhhhhhhhhhh#bbl             l              lbb#hhhhhhhh!
!hhhhhhhhhhhhhhhhhhh#bbl             l              lbb#hhhhhhh!
!hhhhhhhhhhhhhhhhhhhh#bbl             lm             lbb#hhhhhh!
!hhhhhhhhhhhhhhhhhhhhh#bbl             l              lbb#hhhhh!
!hhhhhhhhhhhhhhhhhhhhhh#bbl             l              lbb#hhhh!
!hhhhhhhhhhhhhhhhhhhhhhh#bbl             l              lbb#hhh!
!hhhhhhhhhhhhhhhhhhhhhhhh#bbl             l              lbb#hh!
!hhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l             lbb#hh!
!hhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l             lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l           lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l           lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l           lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l           lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l           lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l           lbb#h!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
!hhhhhhhhhhhhhhhhhhhhhhhhhhhh#bbl             l            lbb#!
